Uuid,Role name,Description,Inherited roles,Privileges,_order:1000
94ad659b-4be5-43b3-9b0d-69cd937304c5,o3 Receptionist/Registration,o3 Receptionist/Registration can access registration search patients check-in view service queues and limited actions on the patient home page like checking in and editing details,API Privileges;API Privileges (View and Edit),o3: Register New Patient;o3: Edit Patient Details;o3: CheckIn/CheckOut Patient;o3: View Patient Search;o3: View Service Queues;o3: Edit Service Queues;o3: Clear Queue Entry;o3: View Patient Banner;o3: View Patient Chart,
46b8d5c9-c8c8-4258-9fe7-bd75c1635677,o3 Health Record Officer,A Health Record Officer manages electronic records ensures data accuracy retrieves patient records accesses registration reports appointments service queues and care panels and can mark patients as deceased,API Privileges;API Privileges (View and Edit),o3: Register New Patient;o3: Edit Patient Details;o3: CheckIn/CheckOut Patient;o3: View Patient Search;o3: View Service Queues;o3: Edit Service Queues;o3: Clear Queue Entry;o3: View Patient Banner;o3: View Appointments;o3: Mark Patient Alive/Dead;o3: View Care Panels;o3: View Facility Dashboard;o3: View Patient Chart,
7b78160c-8499-4b6d-b853-80ecabcee26c,o3 HTS Counsellor,Screen for HIV carry HIV test listing and tracing contacts,API Privileges;API Privileges (View and Edit),o3: View Service Queues;o3: View Appointments;o3: View Patient Chart Appointments;o3: View Contact Listing;o3: View Patient Banner;o3: View Family History;o3: View Patient Chart;o3: View Default Tracing;o3: View Clinical Views,
43cec275-a363-4efa-869b-d621b93f56a0,o3 Doctors/Clinicians/Specialists,A clinician/doctor fills clinical encounters creates prescriptions orders medical tests/diagnostic imaging and views results.,API Privileges;API Privileges (View and Edit),o3: View Patient Chart;o3: View Medications;o3: View Visits;o3: View Allergies;o3: View Conditions;o3: View Immunizations;o3: View Attachments;o3: View Patient Chart Appointments;o3: View Care Panels;o3: View Investigative Results;o3: View MCH;o3: View HTS;o3: View Default Tracing;o3: View Family History;o3: View Service Queues;o3: View Appointments;o3: View In-Patient;o3: View Bed Management;o3: View Patient Forms;o3: View Notes;o3: View Test Results;o3: View Vitals and Biometrics;o3: View Labour And Delivery;o3: View Lab Results;o3: View Patient Flags;o3: View Clinical Views;o3: View Patient Chart Test Results;o3: Manage Procedures,
4a9d8ae3-9c0f-486a-be3f-a67061735f58,o3 Orthopedics,Diagnosing preventing and treating conditions of the musculoskeletal system including bones joints muscles ligaments tendons and nerves,API Privileges;API Privileges (View and Edit);o3 Doctors/Clinicians/Specialists,o3: View Orthopaedic Clinic;,
9286c307-d866-4571-b1d9-be18fb5aef57,o3 Dentist,Dentists diagnose and treat problems with patients' teeth gums and related parts of the mouth,API Privileges;API Privileges (View and Edit);o3 Doctors/Clinicians/Specialists,o3: View Dental Clinic,
4a74cf67-1677-46bc-91c8-8ddc8907321b,o3 Physiotherapist,Manage pain balance mobility and motor function through movement and exercise manual therapy education and advice,API Privileges;API Privileges (View and Edit),o3: View Physiotherapy Clinic,
e1f0c4f5-3d86-4628-998c-07b25c73e3ae,o3 Occupational Therapist,(OT) helps people with disabilities injuries or illnesses develop recover or maintain the skills they need to live and work independently,API Privileges;API Privileges (View and Edit),o3: View Occupational Therapy Clinic,
9b872d5f-d60f-4a58-803c-738582027345,o3 Nurse,Nurse is a licensed healthcare professional who provides care for the sick or infirm,API Privileges;API Privileges (View and Edit),o3: View Patient Chart;o3: View Medications;o3: View Visits;o3: View Allergies;o3: View Conditions;o3: View Immunizations;o3: View Attachments;o3: View Patient Chart Appointments;o3: View Care Panels;o3: View Investigative Results;o3: View MCH;o3: View HTS;o3: View Default Tracing;o3: View Family History;o3: View Service Queues;o3: View Appointments;o3: View In-Patient;o3: View Bed Management;o3: View Patient Forms;o3: View Notes;o3: View Test Results;o3: View Vitals and Biometrics;o3: View Labour And Delivery;o3: View Lab Results;o3: View Patient Flags;o3: View Clinical Views;o3: View Patient Chart Test Results;o3: Manage Procedures,
9e302f44-c528-4400-b17f-9f3f1a8d8b06,o3 Triage Nurse,Nurses who work in emergency rooms and other emergency facilities to assess patients and determine their level of need for medical care,API Privileges;API Privileges (View and Edit);,o3: View Patient Chart;o3: View Vitals and Biometrics;o3: View Patient Forms;o3: View Patient Banner;o3: View Service Queues,
b9f9a886-4f96-479c-854b-7b8ba17cd976,o3 Nutritionist,Professional who helps people improve their health and well-being by providing science-based nutrition advice and personalized plans,API Privileges;API Privileges (View and Edit),o3: View Patient Chart;o3: View Vitals and Biometrics;o3: View Patient Forms;o3: View Patient Banner;o3: View Service Queues;o3: View Appointments;o3: View Nutrition Clinic;o3: View Special Clinics,
52f6dbbb-040e-4f3b-9517-8cc40a1f87d7,o3 Laboratory Technician,Collecting samples of blood and other substances. Performing lab tests on samples and analyzing results,API Privileges;API Privileges (View and Edit),o3: View Lab Order Form;o3: View Lab Orders Dashboard;o3: Pick Lab Order;o3: View Labs;o3: View Patient Chart;o3: View Patient Banner;o3: View Investigative Results,
f40f1483-653c-45df-a6af-a77eec6837e9,o3 Radiologist,Specialist medical doctors trained to interpret x-rays and other medical imaging tests,API Privileges;API Privileges (View and Edit),o3: View Home;o3: View Patient Search;o3: View Lab Order Form;o3: View Labs;o3: View Patient Banner;o3: View Lab Results;o3: View Investigative Results,
64c5346e-829c-4e63-bbe0-9d7ac5e147aa,o3 Pharmacist,Pharmacists dispense prescription medications and provide information to patients about the drugs and their use.,API Privileges;API Privileges (View and Edit),o3: View Dispensing;o3: Cancel Presciption;o3: Pause Prescription;o3: Print Prescription;o3: View Service Queues,
7d9d0dc5-3d0e-4652-adbe-217bb9dab4c9,o3 Cashier/Accountant,Payment of bills and recording and accounting for receipts and maintenance of records of all transactions ,API Privileges;API Privileges (View and Edit),o3: Manage Bills; o3: View Billing; o3: Search Bill; o3: View Patient Chart Bill History;o3: Add Billable Service; o3: Edit Billable Service; o3: Delete Billable Service; o3: View Claims Dashboard;,
e58f2246-8b70-4a5d-9b5e-6e4f90f5cf34,o3 Finance Administrator,Oversees the financial activities of a business and is responsible for the accounts of the hospital,API Privileges;API Privileges (View and Edit),o3: Manage Bills; o3: View Billing; o3: Search Bill; o3: View Patient Chart Bill History; o3: Edit Bill; o3: Delete Bill; o3: Refund Bill; o3: Waive Bill; o3: Add Bill Item; o3: Add Billable Service; o3: Edit Billable Service; o3: Delete Billable Service; o3: View Claims Dashboard; o3: Edit Claims; o3: Delete Claims; o3: Verify Claims,
dba46892-d32e-4ea3-8141-96af5f91246d,o3 System Administrator,An IT professional who manages and maintains an organization's computer systems and networks,API Privileges;API Privileges (View and Edit);System Developer,,
fdfadad4-584c-452f-9bd7-c8eff9d823b5,o3 Peer Eductor/Mentor Mother,Women living with HIV who have been trained to work in collaboration with health workers and other peer educators to encourage educate and empower HIV-positive pregnant women and new mothers about their health and their babies' health,API Privileges;API Privileges (View and Edit),o3: View Service Queues;o3: View Patient Search;o3: View Patient Banner;o3: View Default Tracing;o3: View Special Clinics;o3: View Appointments,
b04a0bf4-0d81-467b-a280-98d2e5bd0807,o3 Adherence counsellor,Works in a health facility to help patients adhere to their HIV/AIDS treatment,API Privileges;API Privileges (View and Edit),o3: View Service Queues;o3: View Patient Search;o3: View Patient Banner;o3: View Default Tracing;o3: View Special Clinics;o3: View Appointments;o3: View Patient Forms,
9ff385ed-fbcf-4788-a80e-e37237d24832,o3 Stock Controller/Manager,Tracks shipments oversees inventory audits and maintains reports of purchases and pricing,API Privileges;API Privileges (View and Edit),o3: Manage Stocks;o3: View Stock Items;o3: View Stock Operations;o3: View Stock Sources;o3: Manage Stock User Scopes;o3: View Stock Locations;o3: View Stock Reports;o3: View Stock Admin Settings,